,Diabolo-RX,Diabolo-RY,Diabolo-RZ,Diabolo-RW,Diabolo-TX,Diabolo-TY,Diabolo-TZ,stick_left-RX,stick_left-RY,stick_left-RZ,stick_left-RW,stick_left-TX,stick_left-TY,stick_left-TZ,stick_right-RX,stick_right-RY,stick_right-RZ,stick_right-RW,stick_right-TX,stick_right-TY,stick_right-TZ
338,,,,,0.0,0.0,0.0,-0.176163,0.722061,0.659211,-0.114176,-0.446149994,0.709471619,1.056299194,-0.64563,-0.175562,0.173279,0.722713,-0.32776016199999997,0.8113599850000001,1.20765332
339,-0.346285,0.639963,-0.648097,0.224731,0.0,0.0,0.0,-0.176289,0.724222,0.656739,-0.114535,-0.445967316,0.709496887,1.053531616,-0.643577,-0.176642,0.173357,0.72426,-0.327717834,0.811649231,1.210346313
340,-0.242377,0.683835,-0.612641,0.313518,0.0,0.0,0.0,-0.175407,0.725324,0.655618,-0.115337,-0.44560769699999997,0.7095011600000001,1.051286743,-0.638231,-0.178781,0.174245,0.728243,-0.327944092,0.811816589,1.214184814
341,-0.137428,0.716539,-0.559953,0.392604,0.0,0.0,0.0,-0.175593,0.726184,0.65466,-0.115085,-0.445235779,0.709419189,1.0490029300000001,-0.638336,-0.179154,0.173991,0.72812,-0.327784088,0.812161194,1.216247192
342,-0.035172,0.73239,-0.492016,0.469348,0.0,0.0,0.0,-0.175678,0.727201,0.653353,-0.115954,-0.444980194,0.709243591,1.046682495,-0.633973,-0.180523,0.174961,0.731354,-0.327894348,0.812286072,1.219729126
343,0.06891,0.723451,-0.414084,0.548091,0.0,0.0,0.0,-0.174752,0.728085,0.652454,-0.116867,-0.444628662,0.7092439580000001,1.044659668,-0.63424,-0.181128,0.174902,0.730986,-0.32778204299999997,0.812569214,1.221731689
344,0.172601,0.707294,-0.329177,0.601321,0.0,0.0,0.0,-0.175167,0.729024,0.651312,-0.116756,-0.444304932,0.7091264039999999,1.042460693,-0.631901,-0.181714,0.175373,0.732751,-0.32772998000000003,0.812778015,1.224620728
345,0.272555,0.676723,-0.235765,0.642009,0.0,0.0,0.0,-0.175001,0.729591,0.650654,-0.117137,-0.443939117,0.70900061,1.0405306399999998,-0.627252,-0.182493,0.176758,0.736212,-0.327886658,0.8128280640000001,1.228323486
346,0.368313,0.629871,-0.138294,0.669689,0.0,0.0,0.0,-0.174499,0.731052,0.648997,-0.11796,-0.443592468,0.7088893430000001,1.038333862,-0.624896,-0.184243,0.176895,0.737745,-0.327913757,0.812913818,1.231073242
347,0.457677,0.575917,-0.03312,0.676576,0.0,0.0,0.0,-0.174956,0.730852,0.649099,-0.117969,-0.443188019,0.7086034550000001,1.036617065,-0.624671,-0.184544,0.176893,0.737861,-0.327777344,0.813110168,1.23337085
