,index,Unnamed: 0,Frame,Sub Frame,Diabolo-RX,Diabolo-RY,Diabolo-RZ,Diabolo-TX,Diabolo-TY,Diabolo-TZ,stick_left-RX,stick_left-RY,stick_left-RZ,stick_left-TX,stick_left-TY,stick_left-TZ,stick_right-RX,stick_right-RY,stick_right-RZ,stick_right-TX,stick_right-TY,stick_right-TZ
1709,16709,16709,16710,0,-1.707572726058047,0.9949962729938508,-2.288407993916288,-527.320068,568.376953,446.848206,1.4893320773652148,0.0277364889206127,-2.26954373316531,-584.897827,504.401154,1124.878662,-1.3029389640828315,-0.224824623123657,0.7634113372980951,-386.274597,775.334961,1231.6698
1710,16710,16710,16711,0,-1.824597549602209,1.2850967372904425,-2.412707615445687,-527.837463,567.530273,446.272522,1.4901297749570737,0.0255650708616949,-2.270920710291118,-584.946899,504.436188,1125.013794,-1.3043340102919685,-0.2245878949523157,0.768770812402113,-387.240143,773.999146,1231.221924
1711,16711,16711,16712,0,2.9283802097024547,1.4964355811772323,2.3272478800319623,-528.054199,567.653198,446.220215,1.4916411337026838,0.0252776656584808,-2.27026193935371,-585.140991,504.252899,1125.023193,-1.3011112951948995,-0.2184650018485145,0.7670605157067595,-387.303345,773.161438,1231.249512
1712,16712,16712,16713,0,1.7846027288040671,1.250831840347683,1.1879348851491618,-528.774109,565.967224,445.006104,1.4900712401078062,0.0239857276178406,-2.270925671577974,-585.253296,504.125549,1125.414551,-1.3016786176808162,-0.2132270147750556,0.7696024589577548,-387.858826,772.075928,1230.959229
1713,16713,16713,16714,0,1.685875460404461,0.9575589881710304,1.077356581683368,-528.675415,566.217651,444.449066,1.4891234410159848,0.026743253645041,-2.2667047501213573,-585.758911,503.416534,1125.642334,-1.304938047409181,-0.2113426461268507,0.7725318940463175,-388.651764,771.088318,1230.340698
1714,16714,16714,16715,0,1.640868394328086,0.6665280139367207,1.0254030296438634,-528.641174,566.230408,442.72821,1.4901860543895775,0.0272998758328685,-2.26624659565128,-585.930603,503.205963,1125.696167,-1.299133159484556,-0.2065461553546778,0.7728491900433039,-388.819214,769.91571,1230.643555
1715,16715,16715,16716,0,1.5777498691253329,0.3902704209590494,0.9272873059667788,-525.309326,569.871643,436.723541,1.4879435299124544,0.027512284053462,-2.2658702417741665,-586.121582,502.962097,1126.189453,-1.3011735674980447,-0.2027764585849251,0.7734426098586454,-389.317047,769.129639,1230.156372
1716,16716,16716,16717,0,1.6262445225430564,0.076607227344101,1.0053940128896226,-529.43219,565.181641,441.204956,1.4879207980530695,0.0274291159844621,-2.265676544852644,-586.274841,502.757538,1126.397705,-1.3022960500496688,-0.2029708108761261,0.7789704944462067,-390.269775,767.770813,1229.811523
1717,16717,16717,16718,0,1.615330384487493,-0.2159545861672535,0.9888036163165757,-528.983337,565.713928,439.640564,1.4854180581260734,0.0269672834944283,-2.265616148443696,-586.414246,502.546783,1126.944336,-1.3018140481019993,-0.1964300072155716,0.7792072743483479,-390.574158,766.921875,1229.653198
1718,16718,16718,16719,0,1.6200727750809618,-0.5114005751199583,0.945199920588138,-526.60199,567.733032,439.336151,1.5093973648523802,0.0292850760585778,-2.264924849818476,-586.685852,502.508392,1124.206177,-1.2995860396192451,-0.1965932338389047,0.7836813210948564,-391.257019,765.542114,1229.609131
